startup_name,sector,city,investors,funding_stage,amount_usd,year
House Of Msasaba,Other,Mumbai,Binny Bansal,Series A,1000000.0,2019
Board Infinity,EdTech,Other City,Multiple Angel Investors,Seed,319605.0,2019
Nobroker,E-Commerce,Bangalore,General Atlantic,Series C,51000000.0,2019
Bira91,FoodTech,Delhi,Anicut Capital,Debt Funding,10000000.0,2019
Fabhotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,4889975.54,2019
Avail Finance,Fintech,Bangalore,Matrix Partners,Series A,9000000.0,2019
Bharatpe,Fintech,Delhi,Insight Partners,Series B,75000000.0,2019
Recykal,Other,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,26000000.0,2019
Agara Labs,Other,Bangalore,Blume Ventures and RTP Global,Pre-Series A,2500000.0,2019
Sistema.Bio,Agriculture,Other City,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,2739034.68,2019
Chakr Innovation,Other,Delhi,IAN Fund,Series A,26000000.0,2019
Pratilipi,Other,Bangalore,Qiming Venture Partners,Series B,15109500.0,2019
Bolo App,Other,Bangalore,Nexus Venture Partners,Seed,430200.0,2019
Okcredit,Fintech,Other City,Tiger Global Management,Series A,15500000.0,2019
Biz2Credit,Fintech,Other City,WestBridge Capital,Series B,52000000.0,2019
Vogo Automotive Pvt. Ltd.,Transportation,Other City,Alteria Capital,Debt Funding,3584000.0,2019
Leegality,Services,Other City,Mumbai Angels,Series A,3400000.0,2019
Ola Electric,Other,Bangalore,Tata Sons,Series A,,2019
Saahas Zero Waste,Other,Bangalore,C4D Partners,Venture,868600.0,2019
Styledotme,E-Commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Other,,2019
Blackbuck,Other,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019
Zenoti,Other,Hyderabad,Tiger Global Management,Series C,50000000.0,2019
Ather Energy,Other,Bangalore,Sachin Bansal,Series C,51000000.0,2019
Freshvnf,Other,Mumbai,Equanimity Ventures,Seed,140000000.0,2019
Glowroad,E-Commerce,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019
Bira91,FoodTech,Delhi,Sixth Sense Ventures,Series B,5600000.0,2019
Kuvera,Fintech,Bangalore,Eight Roads,Series A,45000000.0,2019
Medlife,E-Commerce,Bangalore,Prasid Uno Family Trust,Private Equity,17000000.0,2019
Kabadiwala,E-Commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019
Tripoto,Other,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019
Azah,Other,Gurgaon,Unnamed angel investors,Seed,200000.0,2019
Setu,Fintech,Bangalore,Lightspeed India Partners,Seed,3500000.0,2019
Toppr,Other,Mumbai,Milestone,Debt Funding,6320820.0,2019
Craftsvilla,E-Commerce,Mumbai,Supera Pte Ltd,Other,2443495.0,2019
Unacademy,Other,Bangalore,Kalyan Krishnamurthy,Seed,307000.0,2019
Clevertap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019
My Healthcare,E-Commerce,Other City,Sixth Sense Ventures,Series A,3000000.0,2019
Krazybee,E-Commerce,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,14342000.0,2019
Shuttl,Transportation,Gurgaon,New Atlantic Ventures,Venture,5000000.0,2019
Increff,Technology,Bangalore,"021 Capita, Binny Bansal",Series A,3000000.0,2019
Fleetx,Other,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre-Series A,,2019
