startup_name,sector,city,investors,funding_stage,amount_usd,year
Genie,Consumer Internet,Chennai,undisclosed investors,Seed,250000.0,2017
Paysense,Consumer Internet,Mumbai,Jungle Ventures,Private Equity,5300000.0,2017
The Good Life,E-Commerce,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed,1000000.0,2017
Pumpkart,E-Commerce,Chandigarh,Dr. Ritesh Malik,Seed,,2017
Paytm,E-Commerce,Bangalore,SoftBank Group,Private Equity,1400000000.0,2017
Ezcred,Consumer Internet,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed,1000000.0,2017
Healthsutra,FoodTech,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed,,2017
Yepme,E-Commerce,Delhi,Gokaldas Exports Ltd,Private Equity,,2017
Delhivery,Logistics,Delhi,Fosun International,Private Equity,30000000.0,2017
Zipgrid,Consumer Internet,Mumbai,"JLL, 1Crowd",Seed,500000.0,2017
Travelspice,E-Commerce,Hyderabad,Eagle10 Ventures,Seed,,2017
Magicpin,Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000.0,2017
The Print,Consumer Internet,Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed,,2017
Box8,Consumer Internet,Mumbai,Trifecta Capital,Private Equity,1000000.0,2017
Gennext Students,Consumer Internet,Mumbai,Undisclosed Investors,Seed,580000.0,2017
Aye Finance,Fintech,Gurgaon,Blue Orchard,Private Equity,8000000.0,2017
Whatsloan,Consumer Internet,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed,,2017
Cube Consumer Services,Consumer Internet,Mumbai,,Seed,,2017
Nivesh,Consumer Internet,Delhi NCR,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed,,2017
Wowflux,Technology,Delhi,Undisclosed Investors,Seed,,2017
Collateral Medical,E-Commerce,Mumbai,Carpediem Capital,Private Equity,3500000.0,2017
Loadshare,Logistics,Bangalore,Matrix Partners,Seed,,2017
Simplilend,Consumer Internet,Delhi,Undisclosed Investors,Seed,,2017
Supr Daily,Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000.0,2017
Swiggy,Consumer Internet,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000.0,2017
Sastasundar,E-Commerce,Kolkata,Rohto Pharmaceutical,Private Equity,5000000.0,2017
Magicpin,Consumer Internet,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000.0,2017
Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.0,2017
Eruditus,EdTech,Mumbai,Bertelsmann India,Private Equity,8200000.0,2017
Testbook,Consumer Internet,Mumbai,Matrix Partners India,Private Equity,,2017
Healthcare At Home,Healthcare,Delhi NCR,Quadria Capital Advisors,Private Equity,40000000.0,2017
Tyre Express,Technology,Mumbai,Rohitash Gupta,Seed,,2017
Smartcoin,Consumer Internet,Bangalore,Unicorn India Ventures & Others,Private Equity,,2017
Waycool,FoodTech,Chennai,Aspada Investments,Private Equity,2700000.0,2017
Perfios,Technology,Bangalore,Bessemer Venture Partners,Private Equity,6100000.0,2017
Whatfix,Technology,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000.0,2017
Elastirun,Technology,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000.0,2017
Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed,500000.0,2017
Konsult App,Consumer Internet,Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed,500000.0,2017
Credit Sudhaar,Consumer Internet,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed,,2017
Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,3000000.0,2017
Dataweave,Technology,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,,2017
Medwell Ventures,Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000.0,2017
Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,5000000.0,2017
Startup Buddy,Consumer Internet,Gurgaon,"YouWeCan Ventures,",Seed,,2017
Qorqi,Healthcare,Delhi NCR,Paytm,Seed,,2017
Twenty Two Motors,Technology,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed,,2017
Pharmeasy,E-Commerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000.0,2017
Wonderchef,E-Commerce,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,,2017
Fastfox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000.0,2017
Omnify,Technology,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed,150000.0,2017
Capital Float,Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000.0,2017
Ninjacart,E-Commerce,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000.0,2017
Mergerware,Technology,Bangalore,Philippe Bouchet,Seed,100000.0,2017
Clovia,E-Commerce,Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000.0,2017
Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,4500000.0,2017
Hackerearth,Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000.0,2017
Squadrun,Technology,Delhi NCR,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,2100000.0,2017
Scoutmytrip,Consumer Internet,Mumbai,Z Nation Lab,Seed,,2017
Safetykart,E-Commerce,Gurgaon,Redcliffe Capital,Private Equity,,2017
Weareholidays,Consumer Internet,Gurgaon,"Urrshila Kerkar,",Private Equity,7700000.0,2017
Ola Cabs,Consumer Internet,Bangalore,SIMI Pacific Pte,Private Equity,260000000.0,2017
Myly,Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI),Seed,310000.0,2017
Credihealth,Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,1500000.0,2017
Navia Life Care,Technology,Delhi,Benori Ventures LLP,Seed,,2017
Raw Pressery,Other,Mumbai,Jacqueline Fernandez,Seed,,2017
Snackible,Other,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed,175000.0,2017
Be U Salons,Consumer Internet,Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed,620000.0,2017
Simulanis,Consumer Internet,Delhi,Village Capital,Seed,,2017
Lendingkart,Consumer Internet,Ahmedabad,Anicut Capital,Private Equity,4650000.0,2017
Innefu Security Consulting,Technology,Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000.0,2017
Whodat,Technology,Bangalore,Ideaspring Capital,Private Equity,600000.0,2017
Absentia Vr,Technology,Bangalore,Exfinity Venture Partners,Private Equity,1250000.0,2017
Iotrek,Technology,Delhi,Undisclosed Investor,Seed,155000.0,2017
Holachef,Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000.0,2017
Wooplr,E-Commerce,Bangalore,Ankit Nagori,Private Equity,,2017
Video Ken,Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed,1000000.0,2017
Faasos,FoodTech,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,6300000.0,2017
Oyo Rooms,Consumer Internet,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000.0,2017
Toppr,Consumer Internet,Mumbai,WGG International,Private Equity,3200000.0,2017
Niramai,Healthcare,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed,,2017
The Office Pass,Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma",Seed,245000.0,2017
Urbanclap,Consumer Internet,Gurgaon,Trifecta Capital,Private Equity,3100000.0,2017
Awfis,Consumer Internet,Mumbai,Sequoia India,Private Equity,20000000.0,2017
Myra,Consumer Internet,Bangalore,"Times Internet,Matrix Partners",Private Equity,,2017
Flytxt,Technology,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000.0,2017
Howdy Ventures,Consumer Internet,Chennai,S. Xavier Britto,Seed,1500000.0,2017
Stalkbuylove,E-Commerce,Delhi,Trifecta Capital,Private Equity,1000000.0,2017
Zipgo,Consumer Internet,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,,2017
Scootsy,Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000.0,2017
Autobix,Technology,Pune,GardX International,Seed,,2017
Eshiksha,Technology,Jaipur,Cross Border Angels & Experts,Seed,,2017
Inurture,Consumer Internet,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,1500000.0,2017
Sepalika,Consumer Internet,Delhi,Accel Partners,Seed,750000.0,2017
Mintwalk,Consumer Internet,Mumbai,Poshika Financial Ecosystem,Seed,,2017
Qriyo,Consumer Internet,Jaipur,NB Ventures,Private Equity,,2017
Ola,Consumer Internet,Bangalore,SoftBank Group Corp,Private Equity,330000000.0,2017
Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private Equity,10000000.0,2017
Seenit,Consumer Internet,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed,,2017
Paalak,E-Commerce,Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed,,2017
Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1500000.0,2017
Karomi,Technology,Chennai,Ideaspring Capital,Seed,500000.0,2017
Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private Equity,2500000.0,2017
Kreate Konnect,Technology,Vadodara,Langoor,Seed,,2017
Creditmantri,Consumer Internet,Chennai,Quona Capital,Private Equity,7600000.0,2017
Lets Endorse,Consumer Internet,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed,,2017
Tydy,Technology,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed,275000.0,2017
Nactus,Consumer Internet,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed,,2017
Oho Shop,Technology,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,6700000.0,2017
Emojifi,Consumer Internet,Hyderabad,Undisclosed angel investors,Seed,,2017
Paytm Marketplace,E-Commerce,Bangalore,Alibaba,Private Equity,200000000.0,2017
Igenetics,Healthcare,Mumbai,CDC Group Plc,Private Equity,19500000.0,2017
Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed,1200000.0,2017
Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed,150000.0,2017
Pickme,Consumer Internet,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000.0,2017
Agrostar,Technology,Pune,Accel Partners,Private Equity,10000000.0,2017
Zapr,Technology,Bangalore,Star India Pvt Ltd,Private Equity,10000000.0,2017
Data Resolve,Technology,Delhi NCR,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000.0,2017
Book Servicing,Consumer Internet,Delhi,National Science and Technology Entrepreneurship Development Board,Seed,30000.0,2017
Blowhorn,Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,3650000.0,2017
Rivigo,Logistics,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,15000000.0,2017
Pipecandy,Technology,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed,1100000.0,2017
Supr Daily,Consumer Internet,Mumbai,Y Combinator,Seed,120000.0,2017
Parentune,Consumer Internet,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,,2017
Appbrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed,500000.0,2017
Magicbricks,Consumer Internet,Mumbai,Times Internet Ltd,Private Equity,4500000.0,2017
Peebuddy,Healthcare,Delhi,Indian Angel Network,Seed,443000.0,2017
Iorderfresh,E-Commerce,Delhi,Singapore Angel Network,Seed,,2017
Lavelle Networks,Technology,Bangalore,Ideaspring Capital,Seed,600000.0,2017
Propertyshare,Consumer Internet,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed,,2017
Mydermacy,Consumer Internet,Delhi,Cyber Carrier,Private Equity,,2017
Latestone,E-Commerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,3350000.0,2017
Frapperz,Consumer Internet,Kolkata,Undisclosed Investor,Seed,100000.0,2017
Mpaani,Consumer Internet,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,1350000.0,2017
Shilpmis,Technology,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed,,2017
Popxo,Consumer Internet,Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,3100000.0,2017
Fitso,Consumer Internet,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed,200000.0,2017
Farmart,Technology,Gurgaon,Indian Angel Network,Seed,,2017
Flipkart,E-Commerce,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,1400000000.0,2017
Airpay,Technology,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,3670000.0,2017
Myglamm,Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,5300000.0,2017
The Mons Co.,E-Commerce,Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed,,2017
Haqdarshak,Consumer Internet,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed,191000.0,2017
Ixigo,Consumer Internet,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,15000000.0,2017
Markets And Markets,Technology,Pune,"FTV Capital, Zodius Capital",Private Equity,56000000.0,2017
Bizom,Technology,Bangalore,Ojas Ventures,Seed,382000.0,2017
Babyonboard,Consumer Internet,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed,,2017
Delhivery,Technology,Delhi,"Carlyle Group, Tiger Global",Private Equity,100000000.0,2017
Sport Flashes,Consumer Internet,Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed,,2017
Wigzo,Technology,Delhi,3one4 capital,Private Equity,,2017
Donething,Consumer Internet,Gurgaon,Brand Capital,Private Equity,300000.0,2017
Zapyle,E-Commerce,Bangalore,Undisclosed Investors,Seed,,2017
Ithaka,Consumer Internet,Mumbai,"Ankit Gupta, Puneet Motihar",Seed,325000.0,2017
Perpule,E-Commerce,Bangalore,KStart Capital,Seed,650000.0,2017
Byju\\Xe2\\X80\\X99S,Consumer Internet,Bangalore,Verlinvest,Private Equity,,2017
Licious,E-Commerce,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,10000000.0,2017
Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed,50000.0,2017
Indus Os,Technology,Mumbai,"JSW Ventures, VenturEast",Private Equity,,2017
Emflux Motors,Technology,Bangalore,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",Seed,,2017
Klinic App,Consumer Internet,Gurgaon,Om Chaudhry,Seed,,2017
Jhakaas,Consumer Internet,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed,155000.0,2017
Oriano Solar,Technology,Mumbai,Samridhi Fund,Private Equity,3000000.0,2017
Bigbasket,E-Commerce,Bangalore,Trifecta Capital,Private Equity,7000000.0,2017
Rooter,Consumer Internet,Delhi,Intex Technologies,Private Equity,,2017
Falconbrick,Technology,Bangalore,"Satveer Thakral, LetsVenture, Mumbai Angels",Seed,,2017
Icertis,Technology,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,25000000.0,2017
Clodura,Technology,Pune,Undisclosed Investors,Seed,,2017
Stockroom.Io,Consumer Internet,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed,,2017
Capital Float,Consumer Internet,Bangalore,IFMR Capital Finance,Private Equity,2500000.0,2017
Imanagemyhotel,Technology,Kolkata,Jaarvis Accelerator,Seed,,2017
Inner Hour,Consumer Internet,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed,450000.0,2017
Travel Triangle,Consumer Internet,Delhi NCR,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,10000000.0,2017
Wandertrails,Consumer Internet,Bangalore,Earlsfield Capital,Seed,1000000.0,2017
Zenatix,Technology,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,1200000.0,2017
Cartrade,Consumer Internet,Mumbai,Temasek Holdings,Private Equity,55000000.0,2017
Mindyourfleet,Technology,Delhi NCR,"Japan Vyas, Tarun Adlakha",Seed,,2017
Edurev,Consumer Internet,Gurgaon,Facebook FB Start programme,Seed,40000.0,2017
Voonik,E-Commerce,Bangalore,"RB Investments, Sequoia Capital",Private Equity,6000000.0,2017
1Crowd,Fintech,Mumbai,Ganesh Natarajan,Seed,,2017
Wooplr,E-Commerce,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,8000000.0,2017
48East,E-Commerce,Bangalore,Al Dhaheri family,Private Equity,500000.0,2017
Redesyn,Consumer Internet,Mumbai,ThinQbate,Seed,,2017
Sigtuple,Technology,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,5800000.0,2017
Flutura,Technology,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,7500000.0,2017
Wassup,Consumer Internet,Chennai,Anil Jain & other HNIs,Private Equity,3200000.0,2017
Better Mortgage,Consumer Internet,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,15000000.0,2017
Nurturey,Consumer Internet,Delhi,Mohit Joshi & Others,Seed,330000.0,2017
Fyle,Technology,Bangalore,Pravega Ventures,Seed,400000.0,2017
Gobumpr,Consumer Internet,Chennai,"Mahalingam K, Girish Mathrubootham",Seed,300000.0,2017
Ccavenue,Consumer Internet,Mumbai,Infibeam,Private Equity,22400000.0,2017
Connaizen,Technology,Delhi,Vikram Sud,Seed,,2017
Innov8,Consumer Internet,Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed,,2017
Zestmoney,Consumer Internet,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,6500000.0,2017
Airzaar,Technology,Other City,Quake Capital,Seed,350000.0,2017
Truebil,Consumer Internet,Mumbai,Shunwei Capital,Private Equity,3000000.0,2017
Yourstory,Consumer Internet,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,3000000.0,2017
Imaginate,Technology,Hyderabad,SRI Capital,Seed,500000.0,2017
The Ken,Consumer Internet,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed,400000.0,2017
Urban Ladder,E-Commerce,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,15200000.0,2017
Aisle,Consumer Internet,Bangalore,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed,,2017
Townscript,Consumer Internet,Pune,BookMyShow,Private Equity,,2017
Leopetra,E-Commerce,Mumbai,Facebook FBStart,Seed,40000.0,2017
Blood N Care,Consumer Internet,Gurgaon,Facebook FBStart,Seed,40000.0,2017
Flipkart,E-Commerce,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,38700000.0,2017
True Balance,Consumer Internet,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,15000000.0,2017
Vebbler,Consumer Internet,Bangalore,Facebook FBStart,Seed,40000.0,2017
Get My Parking,Consumer Internet,Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,1100000.0,2017
Lets Reap,Consumer Internet,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed,,2017
Oglas,Consumer Internet,Delhi NCR,"Pankaj Rungta, Yogesh Agarwal",Seed,,2017
Staydobe,Consumer Internet,Bangalore,Ishan Manaktala,Seed,,2017
Biryani By Kilo,Consumer Internet,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed,375000.0,2017
Johari Shop,E-Commerce,Bangalore,Undisclosed Investors,Seed,94000.0,2017
Neostencil,Consumer Internet,Delhi,"Brand Capital, Paragon Trust",Private Equity,1000000.0,2017
Blackbuck,Logistics,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,70000000.0,2017
Taxsutra,Consumer Internet,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed,366000.0,2017
Tempogo,Technology,Other City,K2 Capital,Seed,825000.0,2017
Gofynd,Other,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed,,2017
Vow Car Clinic,Consumer Internet,Gurgaon,Vishal Malik,Seed,,2017
Learntron,Technology,Chennai,Kae Capital,Seed,,2017
Mobident,Consumer Internet,Bangalore,DanGold Investment Corp,Private Equity,,2017
Yostra,Technology,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,,2017
Leap India,Logistics,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,13000000.0,2017
Freecharge,Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000.0,2017
Ticketnew,Consumer Internet,Chennai,Alibaba Pictures,Private Equity,35000000.0,2017
Intelligence Node,Technology,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000.0,2017
Securens,Technology,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,5000000.0,2017
Loan Frame,Consumer Internet,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,2250000.0,2017
Driveskool,Consumer Internet,Bangalore,Aavya Ventures,Seed,,2017
Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed,100000.0,2017
Lenskart,E-Commerce,Bangalore,Ronnie Screwvala,Private Equity,3500000.0,2017
Instaoffice,Consumer Internet,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed,,2017
Hansel.Io,Consumer Internet,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,1350000.0,2017
Square Yards,Consumer Internet,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,10000000.0,2017
Roambee,Technology,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,4100000.0,2017
Paisawapas,Consumer Internet,Bangalore,Vividhity Ventures,Seed,,2017
Iservice,Consumer Internet,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed,440000.0,2017
Unacademy,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,4500000.0,2017
Secururax,Technology,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,,2017
Leadburg,Consumer Internet,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed,,2017
Zolostays,Consumer Internet,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,5000000.0,2017
Oi Media,Technology,Delhi,Quarizon,Seed,,2017
Hipcouch,Consumer Internet,Mumbai,Undisclosed Investors,Seed,700000.0,2017
Curiositi,Consumer Internet,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,800000.0,2017
Tinystep,Consumer Internet,Bangalore,Flipkart,Private Equity,2000000.0,2017
Practo,Consumer Internet,Bangalore,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,55000000.0,2017
Ketchupp,Consumer Internet,Delhi,India Quotient and others,Seed,441000.0,2017
Hoopy,Consumer Internet,Other City,undisclosed investors,Seed,500000.0,2017
Ezytruk,Consumer Internet,Bangalore,"Ajith Nair, Anish K",Seed,147000.0,2017
Kratikal,Technology,Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed,,2017
Direct Create,E-Commerce,Gurgaon,Rajasthan Venture Capital Fund,Seed,,2017
Vahdam Teas,E-Commerce,Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed,650000.0,2017
Qwikspec,Technology,Bangalore,Undisclosed Investors,Seed,300000.0,2017
Pparke,Consumer Internet,Bangalore,SB Ventures,Seed,,2017
Weddingz.In,Consumer Internet,Mumbai,Singularity Ventures,Private Equity,1000000.0,2017
Native Special,E-Commerce,Other City,"Indian Angel Network, Native Angels Network",Seed,,2017
Fitnapp,Consumer Internet,Delhi NCR,SD Group,Private Equity,,2017
Ethosh,Technology,Pune,Deepak Nathani,Seed,,2017
Wydr,E-Commerce,Gurgaon,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",Private Equity,,2017
Messagif,Consumer Internet,Delhi,Undisclosed investor,Seed,50000.0,2017
Smarthi,Technology,Pune,Singapore based investor,Seed,,2017
Cron Systems,Technology,Delhi,YourNest Fund II,Seed,,2017
Cuemath,Technology,Delhi,"CapitalG, Sequoia India",Private Equity,15000000.0,2017
Chippersage,Technology,Bangalore,India Educational Investment Fund,Seed,,2017
Selectjobs,Consumer Internet,Mumbai,India Educational Investment Fund,Seed,,2017
Khel Now,Consumer Internet,Bangalore,Indochine International,Private Equity,500000.0,2017
Nowfloats,Consumer Internet,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,10000000.0,2017
Lets Transport,Consumer Internet,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,4000000.0,2017
Betaout,Technology,Delhi NCR,East Ventures & Others,Private Equity,,2017
Wishberry,Consumer Internet,Mumbai,"Sharad Sharma, Rajan Anandan,\\xc2\\xa0 Amit Ranjan, Alok Mittal & others",Seed,,2017
Rml Agtech,Technology,Pune,IvyCap Ventures,Private Equity,4000000.0,2017
Loyaltyprime,Technology,Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,,2017
Instasafe,Technology,Bangalore,ABM Knowledgeware,Private Equity,2200000.0,2017
Infibeam,E-Commerce,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,8800000.0,2017
99Games,Technology,Other City,Dream Incubator,Seed,,2017
